storm ID,EG,PG,BOD,COD
OUT-S1,24.79011222,497.8510141,169.6066038,
OUT-S2,131.7156762,1714.995528,780.0654558,
OUT-S3,67.5,943.3,953.4748603,
OUT-S4,411.1603456,1344.809628,1353.556875,
OUT-S5,220,3700,3970,7300
OUT-S6,960,3600,300,6600
OUT-S7,140,1000,1550,2000
OUT-S8,120,700,799,1200
OUT-S9,18,18,15.7,60
CG-S1,32,"1,187",767,
CG-S2,479,"9,476","6,054",
CG-S3,204,"3,251","3,843",
CG-S4,26,"7,729","5,762",
CG-S5,490,8500,8430,15000
CG-S6,18,570,898,1700
CG-S7,89,760,1760,2100
CG-S8,,39000,10000,27000
CG-S9,18,18,9.15,35
LK-S1,,,127,
LK-S2,,,427.5,
LK-S3,,,171.8,
LK-S4,,,305,
LK-S5,49,710,702,670
LK-S7,18,120,166,240
LK-S8,18,110,130.8,260
LK-S9,18,18,12.3,94.1
